city,year,Good,Hazardous,Moderate,None,Unhealthy,Unhealthy for Sensitive Groups,Very Unhealthy,Total,Weighted Average,Total Count,Grade,sum_mn,aimag_eng,aimag_mng,pop_count
Altai,2020,1,0,0,34,0,0,0,0.0,0.0,35,,Алтай,Govi-Altai,Говь-Алтай,18747.0
Altai,2021,52,0,49,214,29,21,0,64.5,21.5,365,F,Алтай,Govi-Altai,Говь-Алтай,18720.0
Altai,2022,161,0,124,5,46,27,2,100.0,33.333333333333336,365,F,Алтай,Govi-Altai,Говь-Алтай,18695.0
Altai,2023,182,0,2,84,0,0,0,0.0,0.0,268,A,Алтай,Govi-Altai,Говь-Алтай,
Baruun-Urt,2021,50,0,46,47,1,4,0,5.5,1.8333333333333333,148,C,Баруун-Урт,Sukhbaatar,Сүхбаатар,19655.0
Baruun-Urt,2022,201,0,106,18,17,19,4,52.5,17.5,365,F,Баруун-Урт,Sukhbaatar,Сүхбаатар,20441.0
Baruun-Urt,2023,51,0,95,72,1,14,0,15.5,5.166666666666667,233,F,Баруун-Урт,Sukhbaatar,Сүхбаатар,
Bayankhongor,2022,150,0,59,79,44,23,4,97.0,32.333333333333336,359,F,Баянхонгор,Bayankhongor,Баянхонгор,32211.0
Bayankhongor,2023,84,0,43,85,4,19,0,25.0,8.333333333333334,235,F,Баянхонгор,Bayankhongor,Баянхонгор,
Bulgan,2021,49,0,66,11,6,23,0,32.0,10.666666666666666,155,F,Булган,Bulgan,Булган,15786.0
Bulgan,2022,106,0,166,33,17,43,0,68.5,22.833333333333332,365,F,Булган,Bulgan,Булган,15631.0
Bulgan,2023,110,0,42,98,5,13,0,20.5,6.833333333333333,268,F,Булган,Bulgan,Булган,
Choibalsan,2020,1,0,0,0,0,0,0,0.0,0.0,1,,Чойбалсан,Dornod,Дорнод,46467.0
Choir,2021,35,0,38,56,1,8,0,9.5,3.1666666666666665,138,D,Сүмбэр,Govisumber,Говьсүмбэр,10829.0
Choir,2022,175,0,93,63,12,21,1,41.0,13.666666666666666,365,F,Сүмбэр,Govisumber,Говьсүмбэр,10809.0
Choir,2023,46,0,67,142,1,12,0,13.5,4.5,268,F,Сүмбэр,Govisumber,Говьсүмбэр,
Dalanzadgad,2020,1,0,0,34,0,0,0,0.0,0.0,35,,Даланзадгад,Omnogovi,Өмнөговь,27186.0
Dalanzadgad,2021,34,1,24,242,34,16,14,97.5,32.5,365,F,Даланзадгад,Omnogovi,Өмнөговь,28370.0
Dalanzadgad,2022,78,1,146,0,68,43,29,205.5,68.5,365,F,Даланзадгад,Omnogovi,Өмнөговь,29243.0
Dalanzadgad,2023,29,1,82,95,27,28,6,83.0,27.666666666666668,268,F,Даланзадгад,Omnogovi,Өмнөговь,
Darkhan,2023,28,0,51,157,4,3,0,9.0,3.0,243,D,Дархан,Darkhan-Uul,Дархан-Уул,
Khovd,2020,1,0,0,34,0,0,0,0.0,0.0,35,,Ховд,Khovd,Ховд,31626.0
Khovd,2021,39,5,31,218,40,12,20,124.5,41.5,365,F,Ховд,Khovd,Ховд,32261.0
Khovd,2022,136,1,80,2,90,23,33,226.5,75.5,365,F,Ховд,Khovd,Ховд,32807.0
Khovd,2023,3,0,114,91,19,23,14,79.5,26.5,264,F,Ховд,Khovd,Ховд,
Mandalgobi,2021,50,0,52,34,9,10,0,23.5,7.833333333333333,155,F,Сайнцагаан,Dundgovi,Дундговь,12872.0
Mandalgobi,2022,1,0,11,2,7,5,0,15.5,5.166666666666667,26,,Сайнцагаан,Dundgovi,Дундговь,13207.0
Sainshand,2023,35,0,1,0,0,0,0,0.0,0.0,36,,Сайншанд,Dornogovi,Дорноговь,
Sukhbaatar,2023,51,0,39,147,3,3,0,7.5,2.5,243,D,Сүхбаатар,Selenge,Сэлэнгэ,
Tsetserleg,2023,0,0,4,11,3,4,0,8.5,2.8333333333333335,22,,Цэцэрлэг,Arxangai,Архангай,
Ulaanbaatar,2021,76,0,143,12,68,41,6,155.0,51.666666666666664,346,F,Чингэлтэй,Ulaanbaatar,Улаанбаатар,1639172.0
Ulaanbaatar,2022,83,0,94,0,46,28,3,103.0,34.333333333333336,254,F,Чингэлтэй,Ulaanbaatar,Улаанбаатар,1691766.0
Ulaangom,2020,1,0,0,34,0,0,0,0.0,0.0,35,,Улаангом,Uvs,Увс,30675.0
Ulaangom,2021,52,0,93,210,0,10,0,10.0,3.3333333333333335,365,F,Улаангом,Uvs,Увс,31358.0
Ulaangom,2022,143,0,187,1,2,32,0,35.0,11.666666666666666,365,F,Улаангом,Uvs,Увс,31081.0
Ulaangom,2023,174,0,7,75,2,10,0,13.0,4.333333333333333,268,F,Улаангом,Uvs,Увс,
Ulgii,2020,1,0,0,0,0,0,0,0.0,0.0,1,,Өлгий,Bayan-Ulgii,Баян-Өлгий,41774.0
Uliastai,2021,51,0,68,4,3,29,0,33.5,11.166666666666666,155,F,Улиастай,Zavkhan,Завхан,16339.0
Uliastai,2022,147,0,142,1,15,60,0,82.5,27.5,365,F,Улиастай,Zavkhan,Завхан,16157.0
Uliastai,2023,73,0,41,70,4,24,0,30.0,10.0,212,F,Улиастай,Zavkhan,Завхан,
Undurkhaan,2020,1,0,0,34,0,0,0,0.0,0.0,35,,Хэрлэн,Hentii,Хэнтий,27763.0
Undurkhaan,2021,75,0,15,255,10,9,1,26.0,8.666666666666666,365,F,Хэрлэн,Hentii,Хэнтий,27824.0
Undurkhaan,2022,137,0,99,58,34,35,2,90.0,30.0,365,F,Хэрлэн,Hentii,Хэнтий,27947.0
Undurkhaan,2023,100,0,47,109,8,4,0,16.0,5.333333333333333,268,F,Хэрлэн,Hentii,Хэнтий,
